datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,1,PJM-RTO,,,ZONE,,23.63,23.490958,-0.108359,-0.030684,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,3,MID-ATL/APS,,,ZONE,,23.63,26.141219,2.278908,0.232311,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,23.63,25.380000,2.250000,-0.500000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48593,ALDENE,230 KV,T-20,LOAD,PSEG,23.63,25.380000,2.250000,-0.500000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48594,ATHENIA,26 KV,AB GRP,LOAD,PSEG,23.63,25.450000,2.250000,-0.430000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48595,ATHENIA,26 KV,OU GRP,LOAD,PSEG,23.63,25.450000,2.250000,-0.430000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48596,ATHENIA,26 KV,IM GRP,LOAD,PSEG,23.63,25.450000,2.250000,-0.430000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48603,BELLEVIL,230 KV,26KV,LOAD,PSEG,23.63,25.400000,2.250000,-0.480000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48604,BELLEVIL,230 KV,26KV-2,LOAD,PSEG,23.63,25.400000,2.250000,-0.480000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48605,BENNETTS,230 KV,13KV,LOAD,PSEG,23.63,25.240000,2.240000,-0.630000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48606,BENNETTS,230 KV,13KV-2,LOAD,PSEG,23.63,25.240000,2.240000,-0.630000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,23.63,25.320000,2.240000,-0.550000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48613,BRIDGEWA,230 KV,26KV-2,LOAD,PSEG,23.63,25.320000,2.240000,-0.550000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48614,BRIDGEWA,230 KV,13KV,LOAD,PSEG,23.63,25.320000,2.240000,-0.550000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48615,BRIDGEWA,230 KV,13KV-2,LOAD,PSEG,23.63,25.320000,2.240000,-0.550000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48621,CLIF PS,230 KV,T-1,LOAD,PSEG,23.63,25.400000,2.250000,-0.480000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48622,CLIF PS,230 KV,T-2,LOAD,PSEG,23.63,25.400000,2.250000,-0.480000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48643,FOUNDRY,138 KV,T-1,LOAD,PSEG,23.63,25.390000,2.250000,-0.490000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48644,FOUNDRY,138 KV,T-2,LOAD,PSEG,23.63,25.390000,2.250000,-0.490000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48645,GREENBRO,230 KV,T-1,LOAD,PSEG,23.63,25.440000,2.250000,-0.440000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48646,GREENBRO,230 KV,T-2,LOAD,PSEG,23.63,25.410000,2.250000,-0.470000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48647,HAWTHORN,230 KV,T-20,LOAD,PSEG,23.63,25.350000,2.250000,-0.530000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48648,HILLSDAL,230 KV,T-1,LOAD,PSEG,23.63,25.390000,2.250000,-0.490000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48649,HILLSDAL,230 KV,T-2,LOAD,PSEG,23.63,25.390000,2.250000,-0.490000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48652,HOBOKEN,230 KV,T-1AB,LOAD,PSEG,23.63,25.410000,2.250000,-0.470000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48653,HOBOKEN,230 KV,T-2AB,LOAD,PSEG,23.63,25.410000,2.250000,-0.470000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48660,KILMER,230 KV,T-1,LOAD,PSEG,23.63,25.440000,2.240000,-0.430000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48661,KILMER,230 KV,T-2,LOAD,PSEG,23.63,25.420000,2.240000,-0.450000,True,1
4/8/2023 4:00:00 AM,4/8/2023 12:00:00 AM,48662,KILMER,230 KV,T-3,LOAD,PSEG,23.63,25.440000,2.240000,-0.430000,True,1
4/8/2023 1:00:00 PM,4/8/2023 9:00:00 AM,2156113887,08SMRSD1,69 KV,LD_1,LOAD,DEOK,28.70,31.870000,1.920000,1.250000,True,1
4/8/2023 1:00:00 PM,4/8/2023 9:00:00 AM,2156113889,HARTLAND,69 KV,HART1_LD,LOAD,PPL,28.70,26.770000,-0.420000,-1.510000,True,1
4/8/2023 1:00:00 PM,4/8/2023 9:00:00 AM,2156113890,182_MINO,138 KV,TR76_34,LOAD,COMED,28.70,19.180000,-9.340000,-0.180000,True,1
4/8/2023 1:00:00 PM,4/8/2023 9:00:00 AM,2156113892,CHERITON,4 KV,G5,GEN,DPL,28.70,28.490000,-1.940000,1.730000,True,1
4/8/2023 1:00:00 PM,4/8/2023 9:00:00 AM,2156113893,WJEFERSN,230 KV,TR1,LOAD,APS,28.70,30.500000,1.950000,-0.150000,True,1
4/8/2023 1:00:00 PM,4/8/2023 9:00:00 AM,2156113894,ORANGEHT,69 KV,T1LD,LOAD,PSEG,28.70,26.670000,-0.790000,-1.240000,True,1
4/8/2023 1:00:00 PM,4/8/2023 9:00:00 AM,2156113895,WATERFRO,230 KV,T3,LOAD,PEPCO,28.70,30.900000,2.370000,-0.170000,True,1
4/8/2023 1:00:00 PM,4/8/2023 9:00:00 AM,2156113897,WINTERPK,35 KV,WINTERSP,GEN,DOM,28.70,31.390000,2.330000,0.360000,True,1
4/8/2023 1:00:00 PM,4/8/2023 9:00:00 AM,2156113899,ATLNTA,69 KV,BUCKEYSP,GEN,DAY,28.70,31.390000,1.900000,0.790000,True,1
4/8/2023 1:00:00 PM,4/8/2023 9:00:00 AM,2156113900,NPARKST,69 KV,T3LD,LOAD,PSEG,28.70,26.670000,-0.790000,-1.240000,True,1
4/8/2023 1:00:00 PM,4/8/2023 9:00:00 AM,2156113901,ST_JOHNS,69 KV,SAJO1_LD,LOAD,PPL,28.70,26.820000,-0.420000,-1.460000,True,1
4/8/2023 1:00:00 PM,4/8/2023 9:00:00 AM,2156113902,NPARKST,69 KV,T2LD,LOAD,PSEG,28.70,26.670000,-0.790000,-1.240000,True,1
4/8/2023 1:00:00 PM,4/8/2023 9:00:00 AM,2156113903,TRAPHILL,138 KV,T1,LOAD,AEP,28.70,31.780000,2.050000,1.030000,True,1
4/8/2023 5:00:00 PM,4/8/2023 1:00:00 PM,1356162438,FACEROCK,13 KV,HOLT9,GEN,PPL,23.79,21.940000,-0.480000,-1.370000,True,1
4/8/2023 5:00:00 PM,4/8/2023 1:00:00 PM,1356162439,FACEROCK,13 KV,HOLT2,GEN,PPL,23.79,21.940000,-0.480000,-1.370000,True,1
4/8/2023 5:00:00 PM,4/8/2023 1:00:00 PM,1356162440,FACEROCK,13 KV,HOLT6,GEN,PPL,23.79,21.940000,-0.480000,-1.370000,True,1
4/8/2023 5:00:00 PM,4/8/2023 1:00:00 PM,1356162441,FACEROCK,13 KV,HOLT7,GEN,PPL,23.79,21.940000,-0.480000,-1.370000,True,1
4/8/2023 5:00:00 PM,4/8/2023 1:00:00 PM,1356162442,FACEROCK,13 KV,HOLT13,GEN,PPL,23.79,21.940000,-0.480000,-1.370000,True,1
4/8/2023 5:00:00 PM,4/8/2023 1:00:00 PM,1356162443,FACEROCK,13 KV,HOLT5,GEN,PPL,23.79,21.940000,-0.480000,-1.370000,True,1
4/8/2023 5:00:00 PM,4/8/2023 1:00:00 PM,1356162594,EFLEMING,35 KV,EAMWELSP,GEN,JCPL,23.79,20.220000,-2.530000,-1.040000,True,1
4/8/2023 5:00:00 PM,4/8/2023 1:00:00 PM,1356162595,EFLEMING,35 KV,FISCHER,GEN,JCPL,23.79,20.220000,-2.530000,-1.040000,True,1
4/8/2023 5:00:00 PM,4/8/2023 1:00:00 PM,1356162596,EFLEMING,35 KV,FRNCH3SP,GEN,JCPL,23.79,20.220000,-2.530000,-1.040000,True,1
4/8/2023 5:00:00 PM,4/8/2023 1:00:00 PM,1356162740,CANTON,34 KV,ALPACA,GEN,PENELEC,23.79,21.950000,-0.840000,-1.000000,True,1
